"variable","type","n_nonmissing","p_value","n_levels","table_cells","note"
"withdrawallst","categorical",19693,8.11e-16,2,4,""
"hospdischargedisposition","categorical",19681,2.36e-10,13,26,""
"gastro","categorical",19708,4.29e-08,2,4,""
"trach","categorical",19708,1.13e-06,2,4,""
"teachingstatus","categorical",19708,0.124,2,4,""
"icpevdrain","categorical",19708,0.125,2,4,""
"icpparench","categorical",19708,0.315,2,4,""
"ich_category","categorical",19708,0.335,6,12,""
"sex","categorical",19708,0.345,2,4,""
"verificationlevel","categorical",19708,0.368,3,6,""
"icd_procedures","categorical",19708,0.425,19282,38564,"very large contingency table"
"icd_diagnoses","categorical",19708,0.441,15703,31406,"very large contingency table"
"tbimidlineshift","categorical",19708,0.459,2,4,""
"gcs_cat","categorical",19708,1,3,6,""
"statedesignation","categorical",19708,NA,5,10,""
"finaldischargedays","continuous",19598,1.24e-16,NA,NA,""
"withdrawallst_bin","continuous",19693,6.89e-16,NA,NA,""
"totaliculos","continuous",19098,5.99e-07,NA,NA,""
"totalventdays","continuous",14198,1.88e-06,NA,NA,""
"year","continuous",19708,2.04e-06,NA,NA,""
"inc_key","continuous",19708,3.87e-06,NA,NA,""
"ais_nonhead","continuous",19708,4.51e-05,NA,NA,""
"withdrawallstdays","continuous",2892,9.88e-05,NA,NA,""
"mort_inhospital","continuous",19681,0.0437,NA,NA,""
"totalgcs","continuous",19708,0.0998,NA,NA,""
"hospitalprocedurestartdays","continuous",19675,0.135,NA,NA,""
"iss","continuous",19708,0.178,NA,NA,""
"ageyears","continuous",19708,0.481,NA,NA,""
"ltc_inhospital","continuous",19681,0.554,NA,NA,""
"neurosurg_any","continuous",19708,0.909,NA,NA,""
"ais_head","continuous",19708,0.927,NA,NA,""
"tbicerebralmonitordays","continuous",10174,0.997,NA,NA,""
