"variable","level","overall","minority=White","minority=Minority","p_value","missing","type","note"
"N (encounters)","","31990","","","","","header",""
"N: minority = White","","","21974","","","","header",""
"N: minority = Minority","","","","10016","","","header",""
"ageyears","","55.06 (20.57); median 58.00 [36.00]; range 18.00–89.00","57.19 (20.28); median 61.00 [34.00]; range 18.00–89.00","50.37 (20.41); median 51.00 [36.00]; range 18.00–89.00","<0.001","0","continuous",""
"totalgcs","","9.71 (4.99); median 11.00 [12.00]; range 3.00–15.00","9.80 (5.02); median 12.00 [12.00]; range 3.00–15.00","9.50 (4.92); median 10.00 [11.00]; range 3.00–15.00","<0.001","0","continuous",""
"iss","","22.26 (7.15); median 25.00 [9.00]; range 1.00–75.00","22.33 (7.10); median 25.00 [9.00]; range 1.00–75.00","22.09 (7.24); median 25.00 [9.00]; range 1.00–75.00","<0.001","0","continuous",""
"totalventdays","","9.96 (9.80); median 7.00 [10.00]; range 1.00–258.00","9.50 (9.19); median 7.00 [10.00]; range 1.00–258.00","10.93 (10.88); median 8.00 [11.00]; range 1.00–151.00","<0.001","9624","continuous",""
"totaliculos","","11.04 (10.09); median 8.00 [11.00]; range 1.00–199.00","10.54 (9.48); median 8.00 [10.00]; range 1.00–199.00","12.12 (11.23); median 9.00 [13.00]; range 1.00–151.00","<0.001","1048","continuous",""
"finaldischargedays","","18.50 (20.18); median 12.00 [16.00]; range 1.00–348.00","17.19 (18.17); median 12.00 [16.00]; range 1.00–313.00","21.39 (23.76); median 14.00 [20.00]; range 1.00–348.00","<0.001","206","continuous",""
"withdrawallstdays","","9.75 (10.14); median 7.00 [8.00]; range 1.00–192.00","9.22 (8.76); median 7.00 [8.00]; range 1.00–130.00","11.52 (13.61); median 8.00 [10.00]; range 1.00–192.00","<0.001","26510","continuous",""
"tbicerebralmonitordays","","1.92 (2.85); median 1.00 [1.00]; range 1.00–83.00","1.89 (2.51); median 1.00 [1.00]; range 1.00–62.00","1.96 (3.45); median 1.00 [1.00]; range 1.00–83.00","0.201","15979","continuous",""
"hospitalprocedurestartdays","","3.01 (6.35); median 1.00 [1.00]; range 1.00–151.00","2.86 (5.67); median 1.00 [1.00]; range 1.00–133.00","3.33 (7.62); median 1.00 [1.00]; range 1.00–151.00","0.440","65","continuous",""
