variable,level,overall,trach_peg=None,trach_peg=Trach or PEG,p_value,missing,type,note
N (encounters),,9854,,,,,header,
N: trach_peg = None,,,7435,,,,header,
N: trach_peg = Trach or PEG,,,,2419,,,header,
ageyears,,50.66 (20.59); median 51.00 [36.00]; range 18.00–89.00,52.70 (20.79); median 55.00 [37.00]; range 18.00–89.00,44.36 (18.61); median 42.00 [32.00]; range 18.00–89.00,<0.001,0,continuous,
iss,,22.16 (7.03); median 25.00 [9.00]; range 4.00–75.00,21.73 (7.14); median 25.00 [9.00]; range 4.00–75.00,23.46 (6.51); median 25.00 [11.00]; range 4.00–38.00,<0.001,0,continuous,
totalgcs,,9.42 (5.01); median 10.00 [12.00]; range 3.00–15.00,10.20 (4.93); median 13.00 [10.00]; range 3.00–15.00,7.03 (4.43); median 6.00 [8.00]; range 3.00–15.00,<0.001,0,continuous,
gcs_cat,,,,,<0.001,0,categorical,
gcs_cat,Severe,4437 (45.0%),2825 (38.0%),1612 (66.6%),,,categorical_level,
gcs_cat,Mild,4270 (43.3%),3791 (51.0%),479 (19.8%),,,categorical_level,
gcs_cat,Moderate,1147 (11.6%),819 (11.0%),328 (13.6%),,,categorical_level,
age_cat,,,,,<0.001,0,categorical,
age_cat,Age 61-75 years,2315 (23.5%),1866 (25.1%),449 (18.6%),,,categorical_level,
age_cat,Age 18-30 years,2291 (23.2%),1537 (20.7%),754 (31.2%),,,categorical_level,
age_cat,Age 31-45 years,1993 (20.2%),1411 (19.0%),582 (24.1%),,,categorical_level,
age_cat,Age 46-60 years,1869 (19.0%),1364 (18.3%),505 (20.9%),,,categorical_level,
age_cat,Age >75 years,1386 (14.1%),1257 (16.9%),129 (5.3%),,,categorical_level,
sex,,,,,<0.001,0,categorical,
sex,Male,7704 (78.2%),5737 (77.2%),1967 (81.3%),,,categorical_level,
sex,Female,2150 (21.8%),1698 (22.8%),452 (18.7%),,,categorical_level,
race,,,,,NA,0,categorical,
race,White,9854 (100.0%),7435 (100.0%),2419 (100.0%),,,categorical_level,
ethnicity,,,,,0.025,246,categorical,
ethnicity,Non-Hispanic/Latino,8128 (82.5%),6172 (83.0%),1956 (80.9%),,,categorical_level,
ethnicity,Hispanic/Latino,1480 (15.0%),1083 (14.6%),397 (16.4%),,,categorical_level,
primarymethodpayment,,,,,<0.001,197,categorical,
primarymethodpayment,Private insurance,3418 (34.7%),2394 (32.2%),1024 (42.3%),,,categorical_level,
primarymethodpayment,Medicare,2822 (28.6%),2395 (32.2%),427 (17.7%),,,categorical_level,
primarymethodpayment,Medicaid,1969 (20.0%),1382 (18.6%),587 (24.3%),,,categorical_level,
primarymethodpayment,Self-pay,927 (9.4%),711 (9.6%),216 (8.9%),,,categorical_level,
primarymethodpayment,Other,521 (5.3%),393 (5.3%),128 (5.3%),,,categorical_level,
iss_cat,,,,,<0.001,0,categorical,
iss_cat,ISS > 24,5738 (58.2%),4319 (58.1%),1419 (58.7%),,,categorical_level,
iss_cat,ISS 12-24,2816 (28.6%),1987 (26.7%),829 (34.3%),,,categorical_level,
iss_cat,ISS < 12,1300 (13.2%),1129 (15.2%),171 (7.1%),,,categorical_level,
mechanism,,,,,<0.001,247,categorical,
mechanism,Fall,5131 (52.1%),4181 (56.2%),950 (39.3%),,,categorical_level,
mechanism,Motor vehicle traffic injury,2136 (21.7%),1346 (18.1%),790 (32.7%),,,categorical_level,
mechanism,Struck by/against,823 (8.4%),660 (8.9%),163 (6.7%),,,categorical_level,
mechanism,Firearm,731 (7.4%),475 (6.4%),256 (10.6%),,,categorical_level,
mechanism,Nontraffic transportation injury,433 (4.4%),306 (4.1%),127 (5.3%),,,categorical_level,
mechanism,Other,335 (3.4%),256 (3.4%),79 (3.3%),,,categorical_level,
mechanism,Machinery,18 (0.2%),16 (0.2%),2 (0.1%),,,categorical_level,
intent,,,,,<0.001,214,categorical,
intent,Unintentional,8189 (83.1%),6221 (83.7%),1968 (81.4%),,,categorical_level,
intent,Assault,897 (9.1%),668 (9.0%),229 (9.5%),,,categorical_level,
intent,Self-inflicted,425 (4.3%),273 (3.7%),152 (6.3%),,,categorical_level,
intent,Undetermined,106 (1.1%),78 (1.0%),28 (1.2%),,,categorical_level,
intent,Other,23 (0.2%),19 (0.3%),4 (0.2%),,,categorical_level,
verificationlevel,,,,,0.694,0,categorical,
verificationlevel,1,7516 (76.3%),5676 (76.3%),1840 (76.1%),,,categorical_level,
verificationlevel,2,2291 (23.2%),1726 (23.2%),565 (23.4%),,,categorical_level,
verificationlevel,3,47 (0.5%),33 (0.4%),14 (0.6%),,,categorical_level,
statedesignation,,,,,0.863,0,categorical,
statedesignation,1,7342 (74.5%),5530 (74.4%),1812 (74.9%),,,categorical_level,
statedesignation,2,2414 (24.5%),1830 (24.6%),584 (24.1%),,,categorical_level,
statedesignation,3,98 (1.0%),75 (1.0%),23 (1.0%),,,categorical_level,
teachingstatus,,,,,0.026,0,categorical,
teachingstatus,1,6108 (62.0%),4562 (61.4%),1546 (63.9%),,,categorical_level,
teachingstatus,0,3746 (38.0%),2873 (38.6%),873 (36.1%),,,categorical_level,
hospitaltype,,,,,0.024,0,categorical,
hospitaltype,Non-profit,8837 (89.7%),6700 (90.1%),2137 (88.3%),,,categorical_level,
hospitaltype,For profit,953 (9.7%),685 (9.2%),268 (11.1%),,,categorical_level,
hospitaltype,Government,64 (0.6%),50 (0.7%),14 (0.6%),,,categorical_level,
ich_category,,,,,<0.001,0,categorical,
ich_category,>=2 concomitant ICHs,6485 (65.8%),4478 (60.2%),2007 (83.0%),,,categorical_level,
ich_category,isolated SDH,2574 (26.1%),2328 (31.3%),246 (10.2%),,,categorical_level,
ich_category,isolated IPH,372 (3.8%),286 (3.8%),86 (3.6%),,,categorical_level,
ich_category,isolated SAH,227 (2.3%),168 (2.3%),59 (2.4%),,,categorical_level,
ich_category,isolated EDH,123 (1.2%),114 (1.5%),9 (0.4%),,,categorical_level,
ich_category,other/unspecified ICH,73 (0.7%),61 (0.8%),12 (0.5%),,,categorical_level,
tbimidlineshift,,,,,<0.001,0,categorical,
tbimidlineshift,Yes,5116 (51.9%),3960 (53.3%),1156 (47.8%),,,categorical_level,
tbimidlineshift,No,4738 (48.1%),3475 (46.7%),1263 (52.2%),,,categorical_level,
interfacilitytransfer,,,,,<0.001,0,categorical,
interfacilitytransfer,No,6282 (63.8%),4474 (60.2%),1808 (74.7%),,,categorical_level,
interfacilitytransfer,Yes,3572 (36.2%),2961 (39.8%),611 (25.3%),,,categorical_level,
eddischargedisposition,,,,,0.278,339,categorical,
eddischargedisposition,Not ED transfer,9508 (96.5%),7145 (96.1%),2363 (97.7%),,,categorical_level,
eddischargedisposition,ED transfer,7 (0.1%),7 (0.1%),0 (0.0%),,,categorical_level,
