Craniotomy codes
code,description
"009600Z","Drainage of Cerebral Ventricle with Drainage Device, Open Approach"
"009640Z","Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Endoscopic Approach"
"00983ZZ","Drainage of Basal Ganglia, Percutaneous Approach"
"00590ZZ","Destruction of Thalamus, Open Approach"
"00593ZZ","Destruction of Thalamus, Percutaneous Approach"
"0N503ZZ","Destruction of Skull, Percutaneous Approach"
"0N550ZZ","Destruction of Right Temporal Bone, Open Approach"
"0NT70ZZ","Resection of Occipital Bone, Open Approach"
"4A107KD","Monitoring of Intracranial Temperature, Via Natural or Artificial Opening"
"00K84ZZ","Map Basal Ganglia, Percutaneous Endoscopic Approach"
"00K90ZZ","Map Thalamus, Open Approach"
"0N513ZZ","Destruction of Frontal Bone, Percutaneous Approach"
"0N514ZZ","Destruction of Frontal Bone, Percutaneous Endoscopic Approach"
"0WJ10ZZ","Inspection of Cranial Cavity, Open Approach"
"0WJ13ZZ","Inspection of Cranial Cavity, Percutaneous Approach"
"00T70ZZ","Resection of Cerebral Hemisphere, Open Approach"
"00T74ZZ","Resection of Cerebral Hemisphere, Percutaneous Endoscopic Approach"
"00990ZZ","Drainage of Thalamus, Open Approach"
"00B13ZZ","Excision of Cerebral Meninges, Percutaneous Approach"
"0NC44ZZ","Extirpation of Matter from Left Parietal Bone, Percutaneous Endoscopic Approach"
"00504ZZ","Destruction of Brain, Percutaneous Endoscopic Approach"
"00564ZZ","Destruction of Cerebral Ventricle, Percutaneous Endoscopic Approach"
"00874ZZ","Division of Cerebral Hemisphere, Percutaneous Endoscopic Approach"
"0NS034Z","Reposition Skull with Internal Fixation Device, Percutaneous Approach"
"0NC54ZZ","Extirpation of Matter from Right Temporal Bone, Percutaneous Endoscopic Approach"
"0WP143Z","Removal of Infusion Device from Cranial Cavity, Percutaneous Endoscopic Approach"
"00C83ZZ","Extirpation of Matter from Basal Ganglia, Percutaneous Approach"
"009830Z","Drainage of Basal Ganglia with Drainage Device, Percutaneous Approach"
"00913ZZ","Drainage of Cerebral Meninges, Percutaneous Approach"
"00914ZZ","Drainage of Cerebral Meninges, Percutaneous Endoscopic Approach"
"0NT50ZZ","Resection of Right Temporal Bone, Open Approach"
"0NC10ZZ","Extirpation of Matter from Frontal Bone, Open Approach"
"00K03ZZ","Map Brain, Percutaneous Approach"
"00K80ZZ","Map Basal Ganglia, Open Approach"
"00K83ZZ","Map Basal Ganglia, Percutaneous Approach"
"00K94ZZ","Map Thalamus, Percutaneous Endoscopic Approach"
"00KA3ZZ","Map Hypothalamus, Percutaneous Approach"
"00KD0ZZ","Map Medulla Oblongata, Open Approach"
"00KD4ZZ","Map Medulla Oblongata, Percutaneous Endoscopic Approach"
"0N803ZZ","Division of Skull, Percutaneous Approach"
"0N510ZZ","Destruction of Frontal Bone, Open Approach"
"0N564ZZ","Destruction of Left Temporal Bone, Percutaneous Endoscopic Approach"
"00993ZZ","Drainage of Thalamus, Percutaneous Approach"
"0NT40ZZ","Resection of Left Parietal Bone, Open Approach"
"0NT60ZZ","Resection of Left Temporal Bone, Open Approach"
"0N9040Z","Drainage of Skull with Drainage Device, Percutaneous Endoscopic Approach"
"00B80ZZ","Excision of Basal Ganglia, Open Approach"
"00B84ZZ","Excision of Basal Ganglia, Percutaneous Endoscopic Approach"
"00Q90ZZ","Repair Thalamus, Open Approach"
"00B10ZZ","Excision of Cerebral Meninges, Open Approach"
"00C94ZZ","Extirpation of Matter from Thalamus, Percutaneous Endoscopic Approach"
"00513ZZ","Destruction of Cerebral Meninges, Percutaneous Approach"
"00584ZZ","Destruction of Basal Ganglia, Percutaneous Endoscopic Approach"
"4A003RD","Measurement of Intracranial Saturation, Percutaneous Approach"
"00880ZZ","Division of Basal Ganglia, Open Approach"
"00884ZZ","Division of Basal Ganglia, Percutaneous Endoscopic Approach"
"0NS00ZZ","Reposition Skull, Open Approach"
"0NS045Z","Reposition Skull with External Fixation Device, Percutaneous Endoscopic Approach"
"0WP103Z","Removal of Infusion Device from Cranial Cavity, Open Approach"
"00980ZZ","Drainage of Basal Ganglia, Open Approach"
"00C10ZZ","Extirpation of Matter from Cerebral Meninges, Open Approach"
"00923ZZ","Drainage of Dura Mater, Percutaneous Approach"
"0NB04ZZ","Excision of Skull, Percutaneous Endoscopic Approach"
"4A107BD","Monitoring of Intracranial Pressure, Via Natural or Artificial Opening"
"00K00ZZ","Map Brain, Open Approach"
"00K93ZZ","Map Thalamus, Percutaneous Approach"
"00KA0ZZ","Map Hypothalamus, Open Approach"
"00KA4ZZ","Map Hypothalamus, Percutaneous Endoscopic Approach"
"00KB0ZZ","Map Pons, Open Approach"
"00KC3ZZ","Map Cerebellum, Percutaneous Approach"
"0N543ZZ","Destruction of Left Parietal Bone, Percutaneous Approach"
"0N544ZZ","Destruction of Left Parietal Bone, Percutaneous Endoscopic Approach"
"0N560ZZ","Destruction of Left Temporal Bone, Open Approach"
"0N563ZZ","Destruction of Left Temporal Bone, Percutaneous Approach"
"0WH133Z","Insertion of Infusion Device into Cranial Cavity, Percutaneous Approach"
"00N90ZZ","Release Thalamus, Open Approach"
"00B83ZZ","Excision of Basal Ganglia, Percutaneous Approach"
"00Q24ZZ","Repair Dura Mater, Percutaneous Endoscopic Approach"
"00B00ZZ","Excision of Brain, Open Approach"
"00B04ZZ","Excision of Brain, Percutaneous Endoscopic Approach"
"00C93ZZ","Extirpation of Matter from Thalamus, Percutaneous Approach"
"0NC43ZZ","Extirpation of Matter from Left Parietal Bone, Percutaneous Approach"
"0NS0XZZ","Reposition Skull, External Approach"
"0NC50ZZ","Extirpation of Matter from Right Temporal Bone, Open Approach"
"00C13ZZ","Extirpation of Matter from Cerebral Meninges, Percutaneous Approach"
"00594ZZ","Destruction of Thalamus, Percutaneous Endoscopic Approach"
"0N573ZZ","Destruction of Occipital Bone, Percutaneous Approach"
